Data;Hora;Estacao;Codigo;Poluente;Valor;Unidade;Tipo
01/01/2022;00:00:00;Suape;PE06;CO;0.149;ug/m3;Automática
01/01/2022;00:00:00;Suape;PE06;MP10;29;ug/m3;Automática
01/01/2022;00:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;00:00:00;Suape;PE06;NO2;0.69;ug/m3;Automática
01/01/2022;01:00:00;Suape;PE06;CO;0.146;ug/m3;Automática
01/01/2022;01:00:00;Suape;PE06;MP10;23;ug/m3;Automática
01/01/2022;01:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;02:00:00;Suape;PE06;CO;0.144;ug/m3;Automática
01/01/2022;02:00:00;Suape;PE06;MP10;34;ug/m3;Automática
01/01/2022;02:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
01/01/2022;02:00:00;Suape;PE06;NO2;1.23;ug/m3;Automática
01/01/2022;03:00:00;Suape;PE06;MP10;54;ug/m3;Automática
01/01/2022;03:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
01/01/2022;03:00:00;Suape;PE06;NO2;0.86;ug/m3;Automática
01/01/2022;03:00:00;Suape;PE06;SO2;5.6;ug/m3;Automática
01/01/2022;04:00:00;Suape;PE06;CO;0.169;ug/m3;Automática
01/01/2022;04:00:00;Suape;PE06;MP10;16;ug/m3;Automática
01/01/2022;04:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;04:00:00;Suape;PE06;NO2;0.41;ug/m3;Automática
01/01/2022;05:00:00;Suape;PE06;CO;0.14;ug/m3;Automática
01/01/2022;05:00:00;Suape;PE06;MP10;31;ug/m3;Automática
01/01/2022;05:00:00;Suape;PE06;MP2.5;8;ug/m3;Automática
01/01/2022;05:00:00;Suape;PE06;NO2;0.72;ug/m3;Automática
01/01/2022;06:00:00;Suape;PE06;CO;0.147;ug/m3;Automática
01/01/2022;06:00:00;Suape;PE06;MP10;37;ug/m3;Automática
01/01/2022;06:00:00;Suape;PE06;MP2.5;7;ug/m3;Automática
01/01/2022;06:00:00;Suape;PE06;NO2;0.93;ug/m3;Automática
01/01/2022;07:00:00;Suape;PE06;CO;0.148;ug/m3;Automática
01/01/2022;07:00:00;Suape;PE06;MP10;37;ug/m3;Automática
01/01/2022;07:00:00;Suape;PE06;MP2.5;7;ug/m3;Automática
01/01/2022;07:00:00;Suape;PE06;NO2;0.38;ug/m3;Automática
01/01/2022;08:00:00;Suape;PE06;CO;0.14;ug/m3;Automática
01/01/2022;08:00:00;Suape;PE06;MP10;35;ug/m3;Automática
01/01/2022;08:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;08:00:00;Suape;PE06;NO2;0.03;ug/m3;Automática
01/01/2022;09:00:00;Suape;PE06;CO;0.126;ug/m3;Automática
01/01/2022;09:00:00;Suape;PE06;MP10;34;ug/m3;Automática
01/01/2022;09:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
01/01/2022;09:00:00;Suape;PE06;NO2;0.2;ug/m3;Automática
01/01/2022;10:00:00;Suape;PE06;CO;0.124;ug/m3;Automática
01/01/2022;10:00:00;Suape;PE06;MP10;27;ug/m3;Automática
01/01/2022;10:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;10:00:00;Suape;PE06;NO2;0.27;ug/m3;Automática
01/01/2022;11:00:00;Suape;PE06;CO;0.121;ug/m3;Automática
01/01/2022;11:00:00;Suape;PE06;MP10;31;ug/m3;Automática
01/01/2022;11:00:00;Suape;PE06;MP2.5;8;ug/m3;Automática
01/01/2022;11:00:00;Suape;PE06;NO2;0.31;ug/m3;Automática
01/01/2022;12:00:00;Suape;PE06;CO;0.12;ug/m3;Automática
01/01/2022;12:00:00;Suape;PE06;MP10;20;ug/m3;Automática
01/01/2022;12:00:00;Suape;PE06;MP2.5;9;ug/m3;Automática
01/01/2022;12:00:00;Suape;PE06;NO2;0.27;ug/m3;Automática
01/01/2022;12:00:00;Suape;PE06;SO2;0.2;ug/m3;Automática
01/01/2022;13:00:00;Suape;PE06;CO;0.066;ug/m3;Automática
01/01/2022;13:00:00;Suape;PE06;MP10;24;ug/m3;Automática
01/01/2022;13:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
01/01/2022;13:00:00;Suape;PE06;NO2;0.35;ug/m3;Automática
01/01/2022;13:00:00;Suape;PE06;SO2;2.29;ug/m3;Automática
01/01/2022;14:00:00;Suape;PE06;CO;0.026;ug/m3;Automática
01/01/2022;14:00:00;Suape;PE06;MP10;27;ug/m3;Automática
01/01/2022;14:00:00;Suape;PE06;MP2.5;9;ug/m3;Automática
01/01/2022;14:00:00;Suape;PE06;NO2;0.4;ug/m3;Automática
01/01/2022;14:00:00;Suape;PE06;SO2;2.94;ug/m3;Automática
01/01/2022;15:00:00;Suape;PE06;CO;0.019;ug/m3;Automática
01/01/2022;15:00:00;Suape;PE06;MP10;32;ug/m3;Automática
01/01/2022;15:00:00;Suape;PE06;MP2.5;7;ug/m3;Automática
01/01/2022;15:00:00;Suape;PE06;SO2;2.05;ug/m3;Automática
01/01/2022;16:00:00;Suape;PE06;CO;0.068;ug/m3;Automática
01/01/2022;16:00:00;Suape;PE06;MP10;32;ug/m3;Automática
01/01/2022;16:00:00;Suape;PE06;MP2.5;7;ug/m3;Automática
01/01/2022;17:00:00;Suape;PE06;CO;0.094;ug/m3;Automática
01/01/2022;17:00:00;Suape;PE06;MP10;25;ug/m3;Automática
01/01/2022;17:00:00;Suape;PE06;MP2.5;9;ug/m3;Automática
01/01/2022;17:00:00;Suape;PE06;NO2;1.05;ug/m3;Automática
01/01/2022;18:00:00;Suape;PE06;CO;0.117;ug/m3;Automática
01/01/2022;18:00:00;Suape;PE06;MP10;24;ug/m3;Automática
01/01/2022;18:00:00;Suape;PE06;MP2.5;11;ug/m3;Automática
01/01/2022;18:00:00;Suape;PE06;NO2;1.22;ug/m3;Automática
01/01/2022;19:00:00;Suape;PE06;CO;0.134;ug/m3;Automática
01/01/2022;19:00:00;Suape;PE06;MP10;27;ug/m3;Automática
01/01/2022;19:00:00;Suape;PE06;MP2.5;16;ug/m3;Automática
01/01/2022;19:00:00;Suape;PE06;NO2;1.85;ug/m3;Automática
01/01/2022;20:00:00;Suape;PE06;CO;0.143;ug/m3;Automática
01/01/2022;20:00:00;Suape;PE06;MP10;25;ug/m3;Automática
01/01/2022;20:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
01/01/2022;20:00:00;Suape;PE06;NO2;1.06;ug/m3;Automática
01/01/2022;21:00:00;Suape;PE06;CO;0.145;ug/m3;Automática
01/01/2022;21:00:00;Suape;PE06;MP10;27;ug/m3;Automática
01/01/2022;21:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
01/01/2022;21:00:00;Suape;PE06;NO2;1.81;ug/m3;Automática
01/01/2022;22:00:00;Suape;PE06;CO;0.147;ug/m3;Automática
01/01/2022;22:00:00;Suape;PE06;MP10;26;ug/m3;Automática
01/01/2022;22:00:00;Suape;PE06;MP2.5;13;ug/m3;Automática
01/01/2022;22:00:00;Suape;PE06;NO2;1.59;ug/m3;Automática
01/01/2022;23:00:00;Suape;PE06;CO;0.151;ug/m3;Automática
01/01/2022;23:00:00;Suape;PE06;MP10;27;ug/m3;Automática
01/01/2022;23:00:00;Suape;PE06;MP2.5;11;ug/m3;Automática
01/01/2022;23:00:00;Suape;PE06;NO2;1.22;ug/m3;Automática
02/01/2022;00:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;00:00:00;Suape;PE06;NO2;4.8;ug/m3;Automática
02/01/2022;00:00:00;Suape;PE06;SO2;5.8;ug/m3;Automática
02/01/2022;01:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;01:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
02/01/2022;01:00:00;Suape;PE06;SO2;6;ug/m3;Automática
02/01/2022;02:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;02:00:00;Suape;PE06;MP2.5;4;ug/m3;Automática
02/01/2022;02:00:00;Suape;PE06;SO2;5.6;ug/m3;Automática
02/01/2022;03:00:00;Suape;PE06;MP2.5;2;ug/m3;Automática
02/01/2022;03:00:00;Suape;PE06;NO2;4.5;ug/m3;Automática
02/01/2022;04:00:00;Suape;PE06;MP2.5;5;ug/m3;Automática
02/01/2022;04:00:00;Suape;PE06;NO2;4.8;ug/m3;Automática
02/01/2022;05:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;05:00:00;Suape;PE06;MP2.5;14;ug/m3;Automática
02/01/2022;05:00:00;Suape;PE06;NO2;5.7;ug/m3;Automática
02/01/2022;05:00:00;Suape;PE06;SO2;5.2;ug/m3;Automática
02/01/2022;06:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;06:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
02/01/2022;06:00:00;Suape;PE06;NO2;6.4;ug/m3;Automática
02/01/2022;06:00:00;Suape;PE06;SO2;4.9;ug/m3;Automática
02/01/2022;07:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;07:00:00;Suape;PE06;MP2.5;10;ug/m3;Automática
02/01/2022;07:00:00;Suape;PE06;NO2;4.3;ug/m3;Automática
02/01/2022;07:00:00;Suape;PE06;SO2;4.8;ug/m3;Automática
02/01/2022;08:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;08:00:00;Suape;PE06;MP2.5;11;ug/m3;Automática
02/01/2022;08:00:00;Suape;PE06;NO2;1.8;ug/m3;Automática
02/01/2022;08:00:00;Suape;PE06;SO2;4.09;ug/m3;Automática
02/01/2022;09:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;09:00:00;Suape;PE06;MP2.5;12;ug/m3;Automática
02/01/2022;09:00:00;Suape;PE06;SO2;4.3;ug/m3;Automática
02/01/2022;10:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;10:00:00;Suape;PE06;NO2;3;ug/m3;Automática
02/01/2022;10:00:00;Suape;PE06;SO2;4.8;ug/m3;Automática
02/01/2022;11:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;11:00:00;Suape;PE06;NO2;3.7;ug/m3;Automática
02/01/2022;11:00:00;Suape;PE06;SO2;7.7;ug/m3;Automática
02/01/2022;12:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;12:00:00;Suape;PE06;NO2;4;ug/m3;Automática
02/01/2022;12:00:00;Suape;PE06;SO2;8.5;ug/m3;Automática
02/01/2022;13:00:00;Suape;PE06;CO;0.4;ug/m3;Automática
02/01/2022;13:00:00;Suape;PE06;NO2;4.59;ug/m3;Automática
02/01/2022;13:00:00;Suape;PE06;SO2;8;ug/m3;Automática
02/01/2022;14:00:00;Suape;PE06;CO;0.4;ug/m3;Automática
02/01/2022;14:00:00;Suape;PE06;NO2;2.4;ug/m3;Automática
02/01/2022;14:00:00;Suape;PE06;SO2;8.3;ug/m3;Automática
02/01/2022;15:00:00;Suape;PE06;CO;0.4;ug/m3;Automática
02/01/2022;15:00:00;Suape;PE06;NO2;3.4;ug/m3;Automática
02/01/2022;15:00:00;Suape;PE06;SO2;9.8;ug/m3;Automática
02/01/2022;16:00:00;Suape;PE06;CO;0.4;ug/m3;Automática
02/01/2022;16:00:00;Suape;PE06;NO2;3.4;ug/m3;Automática
02/01/2022;16:00:00;Suape;PE06;SO2;10;ug/m3;Automática
02/01/2022;17:00:00;Suape;PE06;CO;0.4;ug/m3;Automática
02/01/2022;17:00:00;Suape;PE06;NO2;4;ug/m3;Automática
02/01/2022;17:00:00;Suape;PE06;SO2;9.3;ug/m3;Automática
02/01/2022;18:00:00;Suape;PE06;CO;0.5;ug/m3;Automática
02/01/2022;18:00:00;Suape;PE06;NO2;4;ug/m3;Automática
