Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-01-01,15:00:00,Suape,PE06,CO,0.019,ug/m3,Automática
2022-01-01,14:00:00,Suape,PE06,CO,0.026,ug/m3,Automática
2022-01-01,13:00:00,Suape,PE06,CO,0.066,ug/m3,Automática
2022-01-01,16:00:00,Suape,PE06,CO,0.068,ug/m3,Automática
2022-01-01,17:00:00,Suape,PE06,CO,0.094,ug/m3,Automática
2022-01-01,18:00:00,Suape,PE06,CO,0.117,ug/m3,Automática
2022-01-01,12:00:00,Suape,PE06,CO,0.12,ug/m3,Automática
2022-01-01,11:00:00,Suape,PE06,CO,0.121,ug/m3,Automática
2022-01-01,10:00:00,Suape,PE06,CO,0.124,ug/m3,Automática
2022-01-01,09:00:00,Suape,PE06,CO,0.126,ug/m3,Automática
2022-01-01,19:00:00,Suape,PE06,CO,0.134,ug/m3,Automática
2022-01-01,05:00:00,Suape,PE06,CO,0.14,ug/m3,Automática
2022-01-01,08:00:00,Suape,PE06,CO,0.14,ug/m3,Automática
2022-01-01,20:00:00,Suape,PE06,CO,0.143,ug/m3,Automática
2022-01-01,02:00:00,Suape,PE06,CO,0.144,ug/m3,Automática
2022-01-01,21:00:00,Suape,PE06,CO,0.145,ug/m3,Automática
2022-01-01,01:00:00,Suape,PE06,CO,0.146,ug/m3,Automática
2022-01-01,06:00:00,Suape,PE06,CO,0.147,ug/m3,Automática
2022-01-01,22:00:00,Suape,PE06,CO,0.147,ug/m3,Automática
2022-01-01,07:00:00,Suape,PE06,CO,0.148,ug/m3,Automática
2022-01-01,00:00:00,Suape,PE06,CO,0.149,ug/m3,Automática
2022-01-01,23:00:00,Suape,PE06,CO,0.151,ug/m3,Automática
2022-01-01,04:00:00,Suape,PE06,CO,0.169,ug/m3,Automática
2022-01-01,04:00:00,Suape,PE06,MP10,16.0,ug/m3,Automática
2022-01-01,12:00:00,Suape,PE06,MP10,20.0,ug/m3,Automática
2022-01-01,01:00:00,Suape,PE06,MP10,23.0,ug/m3,Automática
2022-01-01,13:00:00,Suape,PE06,MP10,24.0,ug/m3,Automática
2022-01-01,18:00:00,Suape,PE06,MP10,24.0,ug/m3,Automática
2022-01-01,17:00:00,Suape,PE06,MP10,25.0,ug/m3,Automática
2022-01-01,20:00:00,Suape,PE06,MP10,25.0,ug/m3,Automática
2022-01-01,22:00:00,Suape,PE06,MP10,26.0,ug/m3,Automática
2022-01-01,10:00:00,Suape,PE06,MP10,27.0,ug/m3,Automática
2022-01-01,14:00:00,Suape,PE06,MP10,27.0,ug/m3,Automática
2022-01-01,19:00:00,Suape,PE06,MP10,27.0,ug/m3,Automática
2022-01-01,21:00:00,Suape,PE06,MP10,27.0,ug/m3,Automática
2022-01-01,23:00:00,Suape,PE06,MP10,27.0,ug/m3,Automática
2022-01-01,00:00:00,Suape,PE06,MP10,29.0,ug/m3,Automática
2022-01-01,05:00:00,Suape,PE06,MP10,31.0,ug/m3,Automática
2022-01-01,11:00:00,Suape,PE06,MP10,31.0,ug/m3,Automática
2022-01-01,15:00:00,Suape,PE06,MP10,32.0,ug/m3,Automática
2022-01-01,16:00:00,Suape,PE06,MP10,32.0,ug/m3,Automática
2022-01-01,02:00:00,Suape,PE06,MP10,34.0,ug/m3,Automática
2022-01-01,09:00:00,Suape,PE06,MP10,34.0,ug/m3,Automática
2022-01-01,08:00:00,Suape,PE06,MP10,35.0,ug/m3,Automática
