Poluente, Data, Valor, Unidade
CO,2022-01-01,0.12,ug/m3
CO,2022-01-02,0.48,ug/m3
CO,2022-01-03,0.21,ug/m3
CO,2022-01-04,0.38,ug/m3
CO,2022-01-05,0.22,ug/m3
CO,2022-01-06,0.48,ug/m3
CO,2022-01-07,0.58,ug/m3
CO,2022-01-08,0.41,ug/m3
CO,2022-01-09,0.58,ug/m3
CO,2022-01-10,0.18,ug/m3
CO,2022-01-11,0.29,ug/m3
CO,2022-01-12,0.47,ug/m3
CO,2022-01-13,0.29,ug/m3
CO,2022-01-14,0.22,ug/m3
CO,2022-01-15,0.17,ug/m3
CO,2022-01-16,0.16,ug/m3
CO,2022-01-17,0.16,ug/m3
CO,2022-01-18,0.21,ug/m3
CO,2022-01-19,0.26,ug/m3
CO,2022-01-20,0.36,ug/m3
CO,2022-01-21,0.45,ug/m3
CO,2022-01-22,0.50,ug/m3
CO,2022-01-23,0.58,ug/m3
CO,2022-01-24,0.54,ug/m3
CO,2022-01-25,0.42,ug/m3
CO,2022-01-26,0.38,ug/m3
CO,2022-01-27,0.47,ug/m3
CO,2022-01-28,0.42,ug/m3
CO,2022-01-29,0.46,ug/m3
CO,2022-01-30,0.47,ug/m3
CO,2022-01-31,0.45,ug/m3
MP10,2022-01-01,29.33,ug/m3
MP10,2022-01-03,23.78,ug/m3
MP10,2022-01-04,21.68,ug/m3
MP10,2022-01-05,16.88,ug/m3
MP10,2022-01-06,11.33,ug/m3
MP10,2022-01-07,12.36,ug/m3
MP10,2022-01-08,19.43,ug/m3
MP10,2022-01-09,20.75,ug/m3
MP10,2022-01-10,19.38,ug/m3
MP10,2022-01-11,19.82,ug/m3
MP10,2022-01-12,25.12,ug/m3
MP10,2022-01-13,18.95,ug/m3
MP10,2022-01-14,19.81,ug/m3
MP10,2022-01-15,23.36,ug/m3
MP10,2022-01-16,20.17,ug/m3
MP10,2022-01-17,19.96,ug/m3
MP10,2022-01-18,25.70,ug/m3
MP10,2022-01-19,22.38,ug/m3
MP10,2022-01-20,19.62,ug/m3
MP10,2022-01-21,20.46,ug/m3
MP10,2022-01-22,21.00,ug/m3
MP10,2022-01-23,23.70,ug/m3
MP10,2022-01-24,39.30,ug/m3
MP10,2022-01-25,96.29,ug/m3
MP10,2022-01-26,162.67,ug/m3
MP10,2022-01-27,219.80,ug/m3
MP2.5,2022-01-01,10.21,ug/m3
MP2.5,2022-01-02,8.67,ug/m3
MP2.5,2022-01-03,12.79,ug/m3
